asvs_id,chapter,section,level1,level2,level3,applicability,status,evidence,verification,owner,residual_risk
v4.0.3-V8.2.3,,Client-side Data Protection,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.1,,Sensitive Private Data,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.2,,Sensitive Private Data,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.3,,Sensitive Private Data,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.4,,Sensitive Private Data,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.5,,Sensitive Private Data,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.6,,Sensitive Private Data,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.7,,Sensitive Private Data,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V8.3.8,,Sensitive Private Data,,✓,✓,applicable,partial,database/activity.py; services/privacy.py; docs/data_capacity_security.md,test_delete_cascades_and_scrubs_user_jobs,Security owner (assign),Backup/log retention owner approval pending
v4.0.3-V9.1.1,,Client Communication Security,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V9.1.2,,Client Communication Security,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V9.1.3,,Client Communication Security,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V9.2.1,,Server Communication Security,,✓,✓,applicable,partial,database/engine.py; migrations/env.py,TLS certificate validation review,Security owner (assign),Live Supabase certificate handshake pending
v4.0.3-V9.2.2,,Server Communication Security,,✓,✓,applicable,partial,core_shared/config.py; database/engine.py,test_external_redis_without_tls_is_rejected,Security owner (assign),Internal metrics run on isolated bridge without TLS
v4.0.3-V9.2.3,,Server Communication Security,,✓,✓,applicable,partial,database/engine.py; core_shared/config.py,TLS hostname and Redis scheme tests,Security owner (assign),Live external endpoint proof pending
v4.0.3-V9.2.4,,Server Communication Security,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V9.2.5,,Server Communication Security,,,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.1.1,,Code Integrity,,,✓,applicable,implemented_ci,.github/workflows/ci.yaml,"Ruff, Bandit and pip-audit CI",Security owner (assign),Security review still required for logic flaws
v4.0.3-V10.2.1,,Malicious Code Search,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.2.2,,Malicious Code Search,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.2.3,,Malicious Code Search,,,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.2.4,,Malicious Code Search,,,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.2.5,,Malicious Code Search,,,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.2.6,,Malicious Code Search,,,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.3.1,,Application Integrity,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.3.2,,Application Integrity,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V10.3.3,,Application Integrity,✓,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
